no	start_time	end_time	speaker	value
1	0	0.43	sil	sil
2	0.43	2.55	<A>	｛请｝你告诉我图片上有什么&啊？
3	2.55	3.04	sil	sil
4	3.04	6.11	<A>	就是他们在做什么，把你看到的东西告诉我。
5	6.11	8.9053125	<A>	你看到的东西都可以说越多越好。
6	8.9053125	10.23	<B>	｛他们｝很可能是
7	10.23	10.77	sil	sil
8	10.77	11.95	<B>	在上面拿东西吧？
9	11.95	12.56	sil	sil
10	12.56	12.9715	<A>	&嗯。
11	12.9715	14.7170625	<B>	&嗯｛他｝找个凳｛子｝拿东西。
12	14.7170625	15.1608125	<A>	&嗯。
13	15.1608125	17.17	<B>	这个女的接接｛他｝一下。
14	17.17	18.504	sil	sil
15	18.504	19.46	<B>	扶了｛他｝一下。
16	19.46	21.09	sil	sil
17	21.09	21.77	<A>	&嗯
18	21.77	22.32	sil	sil
19	22.32	23.24	<B>	这｛个｝凳｛子｝好像
20	23.24	23.8	sil	sil
21	23.8	24.265875	<A>	&嗯。
22	24.265875	26.05	<B>	要要倒的意思&啊。
23	26.05	26.7	sil	sil
24	26.7	27.86	<A>	然后呢还有呢？
25	27.86	28.53	sil	sil
26	28.53	29.46	<B>	这个呢
27	29.46	30.86	sil	sil
28	30.86	31.92	<B>	好像是
29	31.92	32.33	sil	sil
30	32.33	32.79	<B>	茶。
31	32.79	33.12	sil	sil
32	33.12	34.5986875	<B>	在水槽干什么。
33	34.5986875	34.99	sil	sil
34	34.99	36.6105	<B>	｛水槽里｝水漏出来了，淌出来｛了｝。
35	36.6105	37.1	<A>	&嗯。
36	37.1	37.55	sil	sil
37	37.55	39.74	<B>	她收拾东西好像就忘了把水
38	39.74	40.69	<B>	｛水就｝淌下来了。
39	40.69	41.1371875	<A>	&嗯。
40	41.1371875	41.9	<B>	是不是那个意思。
41	41.9	42.35	sil	sil
42	42.35	44.68	<A>	还有&吗你还看到了什么东西？
43	44.68	45.04	sil	sil
44	45.04	45.5898125	<B>	&嗯。
45	45.5898125	46.73	<A>	这这是谁呀？
46	46.73	47.86	sil	sil
47	47.86	48.74	<B>	这是一个男人。
48	48.74	49.08	sil	sil
49	49.08	50.78	<A>	&嗯｛这｝是个小孩&吗？
50	50.78	51.29	sil	sil
51	51.29	52.02475	<B>	是。
52	52.02475	52.5276875	<A>	这个呢？
53	52.5276875	53.8146875	<B>	这是个女的。
54	53.8146875	54.32	<A>	这
55	54.32	54.9	sil	sil
56	54.9	56.58	<A>	&啊｛这个人｝是姐姐还是妹妹呢？
57	56.58	59.42	sil	sil
58	59.42	61.0558125	<A>	他是他的什么你觉得？
59	61.0558125	62.0469375	<B>	｛他｝像中年。
60	62.0469375	64.09	<A>	&啊｛他｝像中年&啊不是小孩&啊？
61	64.09	64.69	<B>	【笑】
62	64.69	65.4493125	<DEAF>	<DEAF>
63	65.4493125	67.55	<A>	&噢那他们是什么关系呢你觉得？
64	67.55	68.8	sil	sil
65	68.8	70.4076875	<B>	那好像是夫妻关系。
66	70.4076875	71.69	<A>	｛你觉得｝是夫妻关系，那这个呢？
67	71.69	73.53	sil	sil
68	73.53	75.03	<B>	这个人好像是
69	75.03	76.02	sil	sil
70	76.02	77.628375	<B>	收拾卫生的意思好像，
71	77.628375	78.7378125	<A>	【笑】&噢。
72	78.7378125	80.35025	<B>	它水槽是漏水的意思。
73	80.35025	81.8739375	<A>	这个呢这个是什么东西呢？
74	81.8739375	82.84	<B>	这是一个柜呀。
75	82.84	84.6	<A>	&嗯这个呢这是什么东西？
76	84.6	85.14	sil	sil
77	85.14	86.1	<B>	这是一个
78	86.1	86.95	sil	sil
79	86.95	89.0263125	<B>	这也是一个碗架柜的。
80	89.0263125	89.8399375	<A>	这上面呢？
81	89.8399375	90.98	<B>	这上面是一个盘子吧？
82	90.98	91.3	sil	sil
83	91.3	91.984875	<A>	&嗯。
84	91.984875	92.3546875	<B>	&啊。
85	92.3546875	93.5825	<A>	这个是什么东西呢
86	93.5825	94.3369375	<DEAF>	<DEAF>
87	94.3369375	96.09	<A>	&啊这个人他在做什么呢？
88	96.09	98.503125	<B>	他好像擦刷碗的意思吧？
89	98.503125	99.59	<A>	&嗯好。
90	99.59	100.94	sil	sil
91	100.94	101.55	<A>	还有&吗？
92	101.55	103.368625	sil	sil
93	103.368625	104.83	<B>	是就｛看到｝这些嘛。
94	104.83	106.771	sil	sil
95	106.771	108.1319375	<B>	｛我｝也看不出来什么。
96	108.1319375	108.9011875	<A>	没有了是吧？
97	108.9011875	109.58	<B>	&嗯。
98	109.58	110.17	sil	sil
99	110.17	110.7503125	<A>	&嗯。
100	110.7503125	111.5195	<B>	好行。
101	111.5195	112.12	<A>	可以了&啊。
102	112.12	112.84	sil	sil
103	112.84	114.404125	<A>	现在我给你把这个。
104	114.404125	116.416	<NOISE>	<NOISE>
