no	start_time	end_time	speaker	value
1	0	2.988125	<A>	看这里有个看图说话&啊，你看这幅图里面
2	2.988125	3.4910625	<NOISE>	<NOISE>
3	3.4910625	7.9733125	<A>	你看图中有些人，他们在做什么，你觉得他们在做什么？还有图片中有
4	7.9733125	11.34	<A>	些什么东西，把你看到的都说一下&啊，说的越多越好。
5	11.34	12.3150625	<NOISE>	<NOISE>
6	12.3150625	14.84	<B>	这个应该是一家人在
7	14.84	16.96	<B>	厨房里的一个场景&呃。
8	16.96	17.344625	<A>	&嗯。
9	17.344625	18.02	<B>	妈妈
10	18.02	19.7855	<NOISE>	<NOISE>
11	19.7855	20.3771875	<B>	这个
12	20.3771875	20.821	<NOISE>	<NOISE>
13	20.821	24.88	<B>	在用抹这个抹布在擦这个盆。
14	24.88	25.3845625	<A>	&嗯。
15	25.3845625	25.917125	<NOISE>	<NOISE>
16	25.917125	26.3165625	<A>	&嗯。
17	26.3165625	26.6715625	<NOISE>	<NOISE>
18	26.6715625	31.642	<B>	但是不知道为什么她没有注意到这个水龙头里面这个水都已经溢出来了。
19	31.642	32.2336875	<A>	&嗯。
20	32.2336875	33.80175	<NOISE>	<NOISE>
21	33.80175	34.615375	<B>	&呃
22	34.615375	35.3	<NOISE>	<NOISE>
23	35.3	36.68	<B>	这个男孩子
24	36.68	39.04	<B>	很顽皮的男孩子这个踩在了凳子。
25	39.04	39.3416875	<A>	&嗯。
26	39.3416875	40.2884375	<B>	这个
27	40.2884375	40.821	<NOISE>	<NOISE>
28	40.821	41.3239375	<B>	在
29	41.3239375	46.220375	<B>	这个（这个上）/上柜，上去这个拿饼干吃。
30	46.220375	46.900875	<NOISE>	<NOISE>
31	46.900875	49.34	<B>	他那没注意到脚下这个凳子已经
32	49.34	51.079	<B>	已经开始摇晃了。
33	51.079	52.12	<NOISE>	<NOISE>
34	52.12	55.13225	<B>	他旁边的有可能是他妹妹或者姐姐&啊在。
35	55.13225	55.52425	<NOISE>	<NOISE>
36	55.52425	59.32	<B>	跟他说话也有可能警告他说这个马上掉下来注意。
37	59.32	59.78	<A>	&嗯。
38	59.78	63.5568125	<B>	&啊也有可能说你不要忘记帮我也拿两块。
39	63.5568125	63.9414375	<A>	&嗯。
40	63.9414375	65.84	<NOISE>	<NOISE>
41	65.84	66.6263125	<B>	&嗯
42	66.6263125	67.8689375	<NOISE>	<NOISE>
43	67.8689375	69.407375	<B>	然后
44	69.407375	70.6204375	<NOISE>	<NOISE>
45	70.6204375	72.3215625	<B>	这个妈妈可能又走神了，因为
46	72.3215625	72.8245625	<NOISE>	<NOISE>
47	72.8245625	77.5615	<B>	看这个眼光的话她有可能就透过这个窗户看外面的情景。
48	77.5615	78.3603125	<A>	&嗯。
49	78.3603125	81.2	<NOISE>	<NOISE>
50	81.2	82.8	<B>	透过这窗户可以看到
51	82.8	83.54	<NOISE>	<NOISE>
52	83.54	84.28	<B>	外面
53	84.28	89.6103125	<B>	这一些街道这个绿化&啊，或者隔壁邻居的房子。
54	89.6103125	90.0985	<NOISE>	<NOISE>
55	90.0985	90.54225	<A>	&嗯。
56	90.54225	92.376625	<NOISE>	<NOISE>
57	92.376625	93.29375	<B>	&嗯
58	93.29375	95.0836875	<NOISE>	<NOISE>
59	95.0836875	98.121125	<B>	其它呢还看一些（小）/小东西是。
60	98.121125	98.772	<NOISE>	<NOISE>
61	98.772	99.26	<B>	&嗯
62	99.26	102.7660625	<B>	已经可能洗好了都盘子或者两个杯子。
63	102.7660625	103.2715625	<A>	&嗯。
64	103.2715625	103.9076875	<NOISE>	<NOISE>
65	103.9076875	104.7360625	<B>	那个
66	104.7360625	105.34	<NOISE>	<NOISE>
67	105.34	106.12	<B>	窗
68	106.12	106.58	<NOISE>	<NOISE>
69	106.58	110.3736875	<B>	这个厨房里面窗户还有窗帘，这好像不大看的到。
70	110.3736875	110.861875	<A>	&嗯。
71	110.861875	112.11925	<NOISE>	<NOISE>
72	112.11925	113.28	<B>	总的来说
73	113.28	113.9388125	<NOISE>	<NOISE>
74	113.9388125	115.137	<B>	对的，下面
75	115.137	116.0541875	<NOISE>	<NOISE>
76	116.0541875	119.7778125	<B>	（很多）/很多柜子&嗯储存&嗯储物柜。
77	119.7778125	120.327875	<A>	&嗯。
78	120.327875	124.08	<NOISE>	<NOISE>
79	124.08	128.1625	<B>	然后看季节的话，有可能是夏季因为衣服穿的不是太多。
80	128.1625	128.88	<A>	好的。
81	128.88	129.78	<B>	还有吗？
82	129.78	134.718	<NOISE>	<NOISE>
83	134.718	135.3346875	<B>	差不多。
84	135.3346875	136.283	<A>	&嗯很好&啊。
85	136.283	138.59375	<NOISE>	<NOISE>
