no	start_time	end_time	speaker	value
1	0	3.3431875	<A>	好请你做一个看图说话&啊。
2	3.3431875	5.3254375	<A>	来你看一下这幅图&啊，
3	5.3254375	5.8579375	<NOISE>	<NOISE>
4	5.8579375	11.0945625	<A>	(看到你看)//你看到这幅图里面的人都在做什么，你看到了一些什么东西，
5	11.0945625	14.201125	<A>	都跟我说一下说的越多越好&啊&唉。
6	14.201125	15.236625	<A>	这幅图。
7	15.236625	15.680375	<NOISE>	<NOISE>
8	15.680375	16.2720625	<A>	&嗯。
9	16.2720625	21.7898125	<NOISE>	<NOISE>
10	21.7898125	22.3223125	<A>	&嗯。
11	22.3223125	26.641875	<NOISE>	<NOISE>
12	26.641875	27.780875	<B>	这个哥哥
13	27.780875	28.298625	<A>	&嗯。
14	28.298625	30.1476875	<B>	在帮妹妹拿饼干。
15	30.1476875	31.6121875	<A>	&嗯很好&噢。
16	31.6121875	33.9050625	<NOISE>	<NOISE>
17	33.9050625	34.526375	<B>	这个
18	34.526375	37.07075	<NOISE>	<NOISE>
19	37.07075	37.7511875	<B>	椅子
20	37.7511875	39.5263125	<NOISE>	<NOISE>
21	39.5263125	41.6565	<B>	是歪了有可能
22	41.6565	42.3221875	<B>	摔倒了。
23	42.3221875	43.1061875	<A>	&嗯。
24	43.1061875	47.35175	<NOISE>	<NOISE>
25	47.35175	48.9345625	<B>	这个是妈妈在
26	48.9345625	49.4523125	<A>	&嗯。
27	49.4523125	50.088375	<NOISE>	<NOISE>
28	50.088375	50.998125	<B>	洗衣服。
29	50.998125	51.45675	<NOISE>	<NOISE>
30	51.45675	52.1001875	<A>	&嗯。
31	52.1001875	53.890125	<NOISE>	<NOISE>
32	53.890125	56.183	<A>	你再看一下她是在洗什么呀？
33	56.183	64.8368125	<NOISE>	<NOISE>
34	64.8368125	65.5320625	<B>	这个。
35	65.5320625	73.697625	<NOISE>	<NOISE>
36	73.697625	76.0865625	<B>	在洗碗洗盘是吧？
37	76.0865625	78.0319375	<A>	&嗯&嗯好的&啊。
38	78.0319375	87.3810625	<NOISE>	<NOISE>
39	87.3810625	88.5200625	<B>	在厨房里边。
40	88.5200625	89.0674375	<A>	&嗯。
41	89.0674375	92.4845625	<NOISE>	<NOISE>
42	92.4845625	93.4165	<B>	就这样。
43	93.4165	94.8218125	<A>	&嗯还有吗？
44	94.8218125	95.6945625	<NOISE>	<NOISE>
45	95.6945625	98.830625	<A>	你还看到一些什么呀，(这)/这都是些什么呀？
46	98.830625	99.2300625	<NOISE>	<NOISE>
47	99.2300625	100.901625	<B>	这(厨)/厨房这里
48	100.901625	102.07025	<NOISE>	<NOISE>
49	102.07025	102.721125	<B>	橱柜。
50	102.721125	106.92225	<A>	&噢这都是厨房的橱柜是吧？那他(这个)/这个水怎么了？
51	106.92225	108.5199375	<B>	这水怎么流出来了。
52	108.5199375	110.1986875	<A>	&啊这上面有些什么呀？
53	110.1986875	112.6720625	<NOISE>	<NOISE>
54	112.6720625	113.90225	<B>	&啊是碗。
55	113.90225	115.3136875	<A>	&噢&噢。
56	115.3136875	115.909375	<NOISE>	<NOISE>
57	115.909375	117.320875	<A>	好的&啊可以&啊。
58	117.320875	119.78125	<NOISE>	<NOISE>
