name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'P0295_0457';0.000000;2.586082e-02;-9.660341e+00;1.448302e+01;1.140911e-01;-9.005751e-03;3.368600e-03;1.768097e+01;1.326065e+00;-3.315437e+00;-1.342953e+01;0;0;0;0;0;0;8.222720e+02;1.234370e+03;-201;1.800288e+03;-201;2.592723e+03;-201
'P0295_0457';0.010000;4.312807e-02;-1.084729e+01;1.503180e+01;1.109989e-01;-1.140459e-02;6.375210e-03;2.230176e+01;-5.337592e+00;-4.013568e-01;-1.714823e+01;0;0;0;0;0;0;8.155022e+02;1.209505e+03;-201;1.813664e+03;-201;2.566783e+03;-201
'P0295_0457';0.020000;6.131291e-02;-1.090140e+01;1.525174e+01;1.086973e-01;-1.637469e-02;8.615551e-03;2.631760e+01;-1.313490e+01;4.433662e+00;-2.142018e+01;0;0;0;0;0;0;8.012802e+02;1.208519e+03;-201;1.787187e+03;-201;2.541725e+03;-201
'P0295_0457';0.030000;6.544312e-02;-1.050414e+01;1.508545e+01;9.900478e-02;-8.982752e-03;6.618907e-03;2.535515e+01;-1.454648e+01;7.063522e+00;-2.509275e+01;0;0;0;0;0;0;7.842902e+02;1.276565e+03;-201;1.747535e+03;-201;2.499832e+03;-201
'P0295_0457';0.040000;6.941081e-02;-9.498970e+00;1.412474e+01;1.054161e-01;-1.458414e-02;5.245076e-03;2.407032e+01;-1.520414e+01;8.578504e+00;-3.187288e+01;0;0;0;0;0;0;6.455119e+02;1.405438e+03;-201;1.523449e+03;-201;2.329903e+03;-201
'P0295_0457';0.050000;7.542645e-02;-9.820710e+00;1.370103e+01;9.921652e-02;-2.001391e-02;4.683024e-03;2.325940e+01;-1.413880e+01;8.127757e+00;-3.741285e+01;0;0;0;0;0;0;6.486999e+02;1.399689e+03;-1.396685e+02;1.559397e+03;-1.423754e+02;2.386752e+03;-1.450344e+02
'P0295_0457';0.060000;7.818279e-02;-1.023597e+01;1.335714e+01;7.823259e-02;-2.704548e-02;6.190068e-03;2.303242e+01;-9.205110e+00;9.518921e+00;-3.371704e+01;3.850345e+01;0;8.042856e-01;1.110370e+01;2.341435e+00;1.481573e+01;6.531115e+02;1.281827e+03;-8.228197e+01;1.594331e+03;-8.761309e+01;2.458550e+03;-9.059818e+01
'P0295_0457';0.070000;7.372122e-02;-1.362302e+01;1.778998e+01;5.300323e-02;-2.065695e-02;1.271415e-02;2.542090e+01;-2.852936e+00;1.378648e+01;-1.862945e+01;3.839280e+01;5.681573e-03;7.494375e-01;1.198301e+01;3.394291e+00;1.568513e+01;8.547593e+02;1.290262e+03;-2.722932e+01;1.860095e+03;-3.427626e+01;2.638090e+03;-3.726135e+01
'P0295_0457';0.080000;6.752317e-02;-1.788247e+01;2.480751e+01;4.606296e-02;-7.492798e-03;1.627910e-02;2.859028e+01;1.621680e+00;1.691081e+01;-3.447758e+00;3.820120e+01;6.162229e-03;8.224732e-01;1.338359e+01;4.761238e+00;2.152169e+01;1.045667e+03;1.349013e+03;-3.361963e+01;1.993151e+03;-4.147843e+01;2.821018e+03;-4.435706e+01
'P0295_0457';0.090000;6.370013e-02;-2.259714e+01;3.256126e+01;6.171364e-02;5.238837e-03;1.570717e-02;3.228998e+01;3.335440e+00;1.684151e+01;5.853352e+00;3.805111e+01;6.926363e-03;6.569039e-01;1.360611e+01;7.027131e+00;2.906764e+01;1.156518e+03;1.381963e+03;-3.688327e+01;2.090394e+03;-4.547518e+01;2.994760e+03;-5.028255e+01
